,acc,loss,val_acc,val_loss
0,0.3616,1.7412558768463136,0.4613,1.5108886362075806
1,0.5100999999809265,1.362390500717163,0.5635,1.2239121143341065
2,0.575320000038147,1.2038421492767335,0.6104,1.1113311170578002
3,0.613959999961853,1.0961843276977539,0.6379,1.0235945470809937
4,0.6464600000190734,1.0137512309074401,0.6435,1.000105181503296
5,0.6698399999809265,0.9548014873123168,0.688,0.8990457847595215
6,0.6868800000190735,0.9019535082626343,0.6836,0.9038547548294067
7,0.69946,0.8659970962524414,0.7042,0.8506121777534484
8,0.71132,0.8302321731185913,0.7196,0.8037982959747314
9,0.7215799999809265,0.8007798578071594,0.7355,0.7600857299804687
10,0.7316799999618531,0.7709249499893188,0.7429,0.7367247146606445
11,0.74168,0.7460651070594787,0.7471,0.7177090417861939
12,0.7479,0.7233122110366821,0.7353,0.7502738911628724
13,0.755899999961853,0.7037777294540405,0.7498,0.711778881072998
14,0.7605,0.6882913747215271,0.7444,0.7292099203109741
15,0.7668599999618531,0.6734297238922119,0.7602,0.6836622484207153
16,0.7690799999618531,0.6612529239082336,0.7639,0.6791433936595916
17,0.7755999999809265,0.6449772693061828,0.7647,0.6770591534614563
18,0.77804,0.6368042163467407,0.7615,0.6767380834579467
19,0.78234,0.6236396069335938,0.77,0.656487870979309
20,0.7870800000381469,0.612615466747284,0.7793,0.6321642134666443
21,0.78996,0.6007554864120483,0.7773,0.6398471273422242
22,0.7923000000381469,0.5940059285354614,0.7746,0.6492645638465881
23,0.795920000038147,0.584196298828125,0.7825,0.6335952167510986
24,0.798419999961853,0.5735535788345337,0.7811,0.6416154695510864
25,0.8027399999618531,0.5584403012084961,0.7843,0.6289726411819458
26,0.8048399999618531,0.5602317924118042,0.7878,0.62393550157547
27,0.80698,0.5509949612045288,0.7808,0.6257846367359161
28,0.806219999961853,0.5459522623062134,0.792,0.6136146253585816
29,0.813560000038147,0.5341894820785522,0.7845,0.6218832239151001
30,0.8139200000190735,0.5281565693283081,0.7873,0.6142833429336548
31,0.8156199999809265,0.5196833271980286,0.7868,0.6285571054458619
32,0.8183000000190734,0.5142194073104859,0.7911,0.6119226509094239
33,0.81864,0.5170364112758636,0.7891,0.6126849778175354
34,0.8191399999809265,0.5068773195457459,0.7951,0.6167047773361206
35,0.8243599999809265,0.4979410043525696,0.7923,0.6111508741378784
36,0.8256000000190735,0.490421629447937,0.79,0.6182947447776794
37,0.82354,0.49528172949790955,0.7954,0.5981628361701965
38,0.8291199999809266,0.4841514266872406,0.8007,0.5956886870384216
39,0.83004,0.48010622356414795,0.7936,0.5987300627708435
40,0.832800000038147,0.4713174892902374,0.7955,0.6048125537872314
41,0.8303000000190734,0.47377461851119995,0.7986,0.5948475978851319
42,0.83588,0.464385806722641,0.7959,0.6128908098220825
43,0.8372199999809266,0.4590431427192688,0.7981,0.6052909989356995
44,0.8361600000190735,0.4596912573623657,0.8031,0.5833743790626525
45,0.8365199999809265,0.45567151512146,0.799,0.5889556981086731
46,0.8396600000190735,0.45059118201732634,0.7943,0.6111252773284912
47,0.83938,0.448256166009903,0.8063,0.5930613027572632
48,0.8434200000190735,0.4400420853233337,0.8034,0.5890185081481933
49,0.8434800000381469,0.4393360503387451,0.8026,0.5934442588806152
